物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
白色剑舞蹁跹发带 (省赛),equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_pvp_avatar_at_swordman_cap_112550191.equ
黑色剑舞蹁跹发带 (省赛),equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_pvp_avatar_at_swordman_cap_112550192.equ
黄色剑舞蹁跹发带 (省赛),equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_pvp_avatar_at_swordman_cap_112550193.equ
红色灵梦剑影头饰,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550122.equ
粉色灵梦剑影头饰,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550123.equ
白色灵梦剑影头饰,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550124.equ
紫色灵梦剑影头饰,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550125.equ
万圣节捣蛋大王头套 (女鬼剑士),equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550202.equ
女鬼剑的像素帽子,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550216.equ
闪瞎眼的秃头[女鬼剑],equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_112550227.equ
剑皇的像素帽子,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_412550071.equ
剑帝的像素帽子,equipment,0,1,0,0,0,hat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\cap\chn_equ_special_avatar_at_swordman_cap_412550072.equ
巧克力上衣(a)女鬼剑,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\199704983.equ
巧克力上衣(b)女鬼剑,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\199704984.equ
巧克力上衣(c)女鬼剑,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\199704985.equ
剑皇虞美人上衣[A款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500108.equ
剑皇虞美人上衣[B款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500109.equ
剑皇虞美人上衣[C款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500110.equ
剑皇虞美人上衣[D款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500111.equ
剑帝恋香衾上衣[A款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500112.equ
剑帝恋香衾上衣[B款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500113.equ
剑帝恋香衾上衣[C款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500114.equ
剑帝恋香衾上衣[D款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\412500115.equ
光明剑舞天鸣上衣,equipment,2,1,0,0,0,coat avatar,,creator mage,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\acoat_201020856.equ
混沌剑舞天鸣上衣,equipment,2,1,0,0,0,coat avatar,,creator mage,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\acoat_201020864.equ
稀有克隆装扮上衣 (女鬼剑士),equipment,2,1,0,0,0,coat avatar,,creator mage,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\acoat_rareclonemg.equ
神器克隆装扮上衣 (女鬼剑士),equipment,3,1,0,0,0,coat avatar,,creator mage,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\acoat_rareclonemg_holy.equ
黄金克隆装扮上衣 (女鬼剑士),equipment,4,1,0,0,0,coat avatar,,creator mage,是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\acoat_rareclonemg_new.equ
极诣·流浪武士剑星上衣[银色款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202300104.equ
极诣·驭剑士剑语上衣[款式1],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600100.equ
极诣·驭剑士剑缘上衣[款式2],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600101.equ
极诣·驭剑士剑心上衣[款式3],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600102.equ
极诣·驭剑士剑思上衣[款式4],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600103.equ
极诣·驭剑士剑星上衣[银色款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600104.equ
极诣·驭剑士剑光上衣[金色款],equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_2023_202600105.equ
剑魔黑色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500029.equ
剑魔红色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500030.equ
剑魔白色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500031.equ
剑魔紫色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500032.equ
剑宗黑色外套,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500033.equ
剑宗红色外套,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500034.equ
剑宗蓝色外套,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500035.equ
剑宗墨黑外套,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500036.equ
剑豪黑色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500037.equ
剑豪红色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500038.equ
剑豪白色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500039.equ
剑豪紫色上衣,equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_1st_awakening_avatar_at_swordman_coat_412500040.equ
黑色剑舞蹁跹道服 (省赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500190.equ
红色剑舞蹁跹道服 (省赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500191.equ
白色剑舞蹁跹道服 (省赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500192.equ
黑色剑舞蹁跹道服 (周赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500193.equ
红色剑舞蹁跹道服 (周赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500194.equ
白色剑舞蹁跹道服 (周赛),equipment,0,1,0,0,0,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_pvp_avatar_at_swordman_coat_112500195.equ
红色灵梦剑影上衣,equipment,0,1,0,5,5,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_special_avatar_at_swordman_coat_112500123.equ
粉色灵梦剑影上衣,equipment,0,1,0,5,5,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_special_avatar_at_swordman_coat_112500124.equ
蓝色灵梦剑影上衣,equipment,0,1,0,5,5,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_special_avatar_at_swordman_coat_112500125.equ
紫色灵梦剑影上衣,equipment,0,1,0,5,5,coat avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\coat\chn_equ_special_avatar_at_swordman_coat_112500126.equ
机甲龙袍-女鬼剑士(BUFF),equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\202207081.equ
剑皇虞美人耳环[A款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570044.equ
剑皇虞美人耳环[B款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570045.equ
剑皇虞美人耳环[C款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570046.equ
剑皇虞美人耳环[D款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570047.equ
剑帝恋香衾妆容[A款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570048.equ
剑帝恋香衾妆容[B款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570049.equ
剑帝恋香衾妆容[C款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570050.equ
剑帝恋香衾妆容[D款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\412570051.equ
光明剑舞天鸣耳坠,equipment,2,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\aface_201020854.equ
混沌剑舞天鸣耳坠,equipment,2,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\aface_201020862.equ
稀有克隆装扮脸部 (女鬼剑士),equipment,2,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\aface_rareclonemg.equ
神器克隆装扮脸部 (女鬼剑士),equipment,3,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\aface_rareclonemg_holy.equ
黄金克隆装扮脸部 (女鬼剑士),equipment,4,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\aface_rareclonemg_new.equ
极诣·流浪武士剑星耳坠[银色款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202370040.equ
极诣·驭剑士剑语耳坠[款式1],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670036.equ
极诣·驭剑士剑缘耳坠[款式2],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670037.equ
极诣·驭剑士剑心耳坠[款式3],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670038.equ
极诣·驭剑士剑思耳坠[款式4],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670039.equ
极诣·驭剑士剑星耳坠[银色款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670040.equ
极诣·驭剑士剑光耳坠[金色款],equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_2023_202670041.equ
剑魔红色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570202.equ
剑魔黑色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570203.equ
剑魔银色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570204.equ
剑魔紫色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570205.equ
剑宗青色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570206.equ
剑宗红色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570207.equ
剑宗深蓝耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570208.equ
剑宗绿色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570209.equ
剑豪金色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570210.equ
剑豪红色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570211.equ
剑豪蓝色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570212.equ
剑豪紫色耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_1st_awakening_avatar_at_swordman_face_112570213.equ
红色灵梦剑影耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_special_avatar_at_swordman_face_112570087.equ
粉色灵梦剑影耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_special_avatar_at_swordman_face_112570088.equ
蓝色灵梦剑影耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_special_avatar_at_swordman_face_112570089.equ
紫色灵梦剑影耳坠,equipment,0,1,0,0,0,face avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\face\chn_equ_special_avatar_at_swordman_face_112570090.equ
巧克力头发(a)女鬼剑,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\199704986.equ
巧克力头发(b)女鬼剑,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\199704987.equ
巧克力头发(c)女鬼剑,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\199704988.equ
剑皇虞美人短发[A款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560078.equ
剑皇虞美人短发[B款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560079.equ
剑皇虞美人短发[C款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560080.equ
剑皇虞美人短发[D款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560081.equ
剑帝恋香衾长发[A款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560082.equ
剑帝恋香衾长发[B款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560083.equ
剑帝恋香衾长发[C款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560084.equ
剑帝恋香衾长发[D款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\412560085.equ
光明剑舞天鸣马尾,equipment,2,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\ahair_201020853.equ
混沌剑舞天鸣马尾,equipment,2,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\ahair_201020861.equ
稀有克隆装扮头部 (女鬼剑士),equipment,2,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\ahair_rareclonemg.equ
神器克隆装扮头部 (女鬼剑士),equipment,3,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\ahair_rareclonemg_holy.equ
黄金克隆装扮头部 (女鬼剑士),equipment,4,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\ahair_rareclonemg_new.equ
极诣·流浪武士剑星绑发[银色款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202360074.equ
极诣·驭剑士剑语短发[款式1],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660070.equ
极诣·驭剑士剑缘短发[款式2],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660071.equ
极诣·驭剑士剑心短发[款式3],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660072.equ
极诣·驭剑士剑思短发[款式4],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660073.equ
极诣·驭剑士剑星短发[银色款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660074.equ
极诣·驭剑士剑光短发[金色款],equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_2023_202660075.equ
剑魔银白卷发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560001.equ
剑魔黄色卷发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560002.equ
剑魔天蓝卷发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560003.equ
剑魔粉色卷发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560004.equ
剑宗银白短发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560005.equ
剑宗黄色短发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560006.equ
剑宗天蓝短发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560007.equ
剑宗粉色短发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560008.equ
剑豪白色长发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560009.equ
剑豪黄色长发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560010.equ
剑豪天蓝长发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560011.equ
剑豪粉色长发,equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_1st_awakening_avatar_at_swordman_hair_412560012.equ
黑色剑舞蹁跹马尾 (省赛),equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_pvp_avatar_at_swordman_hair_112560167.equ
金色剑舞蹁跹马尾 (省赛),equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_pvp_avatar_at_swordman_hair_112560168.equ
棕色剑舞蹁跹马尾 (省赛),equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_pvp_avatar_at_swordman_hair_112560169.equ
黑色剑舞蹁跹马尾 (周赛),equipment,0,1,0,0,0,hair avatar,,creator mage,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\at_avatar\hair\chn_equ_pvp_avatar_at_swordman_hair_112560170.equ
